,town,lat,lon
0,Abbekås,55.3924,13.5946
1,Abborrberget,60.152,14.7997
2,Agunnaryd,56.7475,14.1447
3,Alberga,58.725,16.584
4,Alby,59.1167,17.65
5,Alfta,61.3454,16.0658
6,Algutsrum,56.6787,16.5299
7,Alingsås,57.9295,12.5405
8,Allerum,56.1106,12.6936
9,Almunge,59.8757,18.0459
10,Alsike,59.7492,17.7794
11,Alstad,55.4533,13.2097
12,Alster,59.4013,13.6139
13,Alsterbro,56.9364,15.9287
14,Alstermo,56.9761,15.6521
15,Alunda,60.0641,18.0809
16,Alvesta,56.9011,14.5502
17,Alvhem,58.0021,12.1653
18,Alvik,59.3313,17.9798
20,Ambjörby,60.4996,13.1739
21,Ambjörnarp,57.4167,13.2833
22,Ammenäs,58.3072,11.8343
23,Andalen,57.7028,11.7631
24,Anderslöv,55.438,13.318
25,Anderstorp,57.2813,13.6272
26,Aneby,57.8374,14.8085
27,Angelstad,56.83,13.7588
28,Angered,57.7992,12.0527
29,Ankarsrum,57.7003,16.3314
30,Ankarsvik,62.3667,17.4167
31,Anneberg,57.539,12.1116
33,Annelund,57.9913,13.087
34,Annelöv,55.8365,13.0192
35,Antnäs,65.5544,21.8364
36,Aplared,57.65,13.0667
37,Arboga,59.3936,15.856
38,Arbrå,61.4723,16.3784
39,Ardala,58.3619,13.3362
40,Arentorp,58.2435,12.8742
41,Arild,56.2672,12.5854
42,Arjeplog,66.0459,17.8749
43,Arkelstorp,56.174,14.2983
44,Arnäsvall,63.3167,18.7833
45,Arnö,58.7202,17.0241
46,Arontorp,56.6461,16.5304
47,Arvidsjaur,65.5928,19.1798
48,Arvika,59.653,12.6044
50,Askeby,58.4079,15.85
51,Askersby,59.1514,15.4779
52,Askersund,58.8888,14.9103
53,Asmundtorp,55.8859,12.9456
54,Asperö,57.6481,11.7976
55,Aspås,63.3678,14.4915
56,Avan,65.6801,21.8041
57,Avesta,60.1405,16.199
58,Axvall,58.3889,13.5733
59,Backa,57.4671,11.9948
60,Backaryd,56.3434,15.1701
61,Backberg,60.6169,16.6178
62,Backe,63.8105,16.4076
63,Baggetorp,59.0167,16.0667
64,Ballingslöv,56.215,13.8486
65,Balsby,56.0734,14.2109
66,Bammarboda,59.517,18.4577
67,Bankekind,58.3747,15.8255
68,Bankeryd,57.8602,14.1245
